,Item,Quantity,Cost (USD),Purchase Link
,Wires,1,11.56,https://www.aliexpress.us/item/3256805055649344.html?spm=a2g0o.productlist.main.9.50b3311ahBt6FD&algo_pvid=37c1d825-5f93-4f2e-8fa4-598d658c24ac&algo_exp_id=37c1d825-5f93-4f2e-8fa4-598d658c24ac-8&pdp_ext_f=%7B%22order%22%3A%22540%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.41%210.99%21%21%2143.16%216.64%21%40210328d417813849936437748ed982%2112000032334158266%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab174b13f%3Bm03_new_user%3A-29895%3BpisId%3A5000000207269612&curPageLogUid=t6OEkrk71Fn5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005241964096%7C_p_origin_prod%3A
,Resistors,1,6.49,https://www.amazon.com/Resistor-Resistors-Assortment-Breadboard-Electronics/dp/B0F4P352BB?crid=1V7216L4H54J2&dib=eyJ2IjoiMSJ9.QqtzmCG7CKt6OW1fHgTb26zvfysLYHBppMF-8-2hzsKaxfDgibXvAtMfU3USecJBQnOhbRDp9rlruqKA5kjphlArn6aQjkCWKlOIRXKABboX5LPOdvxNbHTXX-w17eUsMobP5C66eByAFCjR8Gg3Nby6sDom0Z2cf4Rji1Vjyn5iLaS7_EO1CmoaCWec9bvPEDJbfWAbcfYIlLNpF0Uoh9_rLWpOz3Et6Y-dFgP2lk8.nygtLnMEG3_lGQnpUW1V_2OYUcG56xQvKM0jZg1kRb0&dib_tag=se&keywords=resistor+kit&qid=1781385104&sprefix=resistor+ki%2Caps%2C195&sr=8-4
,Servos (Pack of 4),1,17.98,https://www.amazon.com/Deegoo-FPV-Servo-MG995-Metal-Gear/dp/B07NQJ1VZ2?crid=2M018AKKIP434&dib=eyJ2IjoiMSJ9.5cr1KLwsS3hK3Ki-lIYdwd1P91QphfmVycuMeySeMQTJGO-O4i53izGNC3QtkTucUoVdnwnQ_-wWn-qOqi-Gfi-R6Kr69zxyrdaZ3qON0NIiw5DkAzTxho9Mz1DifL-SlqI4VpfVnT6-rj38-GcoY78U-g7sUpGRvrovPbeFdmqDMhhMazmZlQETL8Cgl-hzb6mZHu-rESLEpT_lkw9jNUV_DLwEO-Eq22HewZcy04c6Ud3L5hKlinmEgnAP5EVMhxVA0r_bk_VPIIGXNw_HdAQTwSwIJWeCHPR7gSOajDM.w4-syqS4BBRYIlcI_U0jd0KxhsCRrQ4d7v7msYxkGDY&dib_tag=se&keywords=servo%2Bmotor&qid=1781403394&sprefix=servo%2Bmoto%2Caps%2C154&sr=8-7&th=1
,Breakout (Servos),1,9.45,https://www.aliexpress.us/item/3256809858578105.html?spm=a2g0o.productlist.main.1.c25b2003lTbRIM&algo_pvid=072291e8-7725-42d6-afc4-8ebaa90f54a2&algo_exp_id=072291e8-7725-42d6-afc4-8ebaa90f54a2-0&pdp_ext_f=%7B%22order%22%3A%22762%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.30%216.42%21%21%2162.57%2143.17%21%402103126e17816563665033680e0d5b%2112000050933209936%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21d99260%3Bm03_new_user%3A-29895&curPageLogUid=Na8pSqTfC65l&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010044892857%7C_p_origin_prod%3A
,Power Switch,1,2.27,https://www.aliexpress.us/item/3256809415854105.html?spm=a2g0o.productlist.main.35.7d36748f0dcP4s&algo_pvid=7a09189b-331f-4e40-92fc-17dc9f989ef8&algo_exp_id=7a09189b-331f-4e40-92fc-17dc9f989ef8-34&pdp_ext_f=%7B%22order%22%3A%227337%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.03%210.99%21%21%211.03%210.99%21%4021033d1217814045078612178ee96a%2112000049599771008%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af5916fa9%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262963&curPageLogUid=XTqRyCQitETI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009602168857%7C_p_origin_prod%3A
,Fuses,1,6.76,https://www.aliexpress.us/item/3256812122080166.html?spm=a2g0o.productlist.main.15.644c17bbjkXDmr&algo_pvid=ab277697-3978-4df7-b75d-23a3321011ad&algo_exp_id=ab277697-3978-4df7-b75d-23a3321011ad-14&pdp_ext_f=%7B%22order%22%3A%22659%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005012308394918%22%2C%22orig_item_id%22%3A%221005010598484478%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.76%213.31%21%21%2145.20%2122.15%21%4021032c8d17875099449084642e1000%2112000058040666013%21sea%21US%218094048836%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac2c1a869%3Bm03_new_user%3A-29895&curPageLogUid=fBiFVfnV41qJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012308394918%7C_p_origin_prod%3A1005010598484478
,Capacitors,1,9.99,https://www.amazon.com/ALLECIN-Electrolytic-Capacitor-Assortment-Kit/dp/B0C1VBXCQM?crid=1KH0YNECZF6CB&dib=eyJ2IjoiMSJ9.YFwrrAqezx1Vbz3vJAGKKtA5lCNj3rRLl3UI5I2oMQo8uv1FxIaQuStFp5NRD5upGXSWcussDpUXLNoUG84Mja7Ya-JLr9JRJnRVtqMWAJmHE3Mmg8eDpK8MBaH82f69ENd3LphhdqZTKK4GkTOnPDRHD4fcJd5m3OWmyj-UqbDmE08LtQrfTkgC4ZvVqX_n4kd28ctRaSS_jOW4IJQLlQZFC5rJ2uJYJFuBke8avWU.S2lBgG0yyAEK3oJbMeuenfrdTXbAKct5thRF6ttc8Fs&dib_tag=se&keywords=capacitor+kit&qid=1781404688&sprefix=capacitor+kit%2Caps%2C164&sr=8-3
,Fuse Mounts,1,11.12,https://www.aliexpress.us/item/3256808052693050.html?spm=a2g0o.productlist.main.1.10da3591dWseLp&algo_pvid=57b21f6f-3429-41a1-89d9-d5fe26e9e855&algo_exp_id=57b21f6f-3429-41a1-89d9-d5fe26e9e855-0&pdp_ext_f=%7B%22order%22%3A%22240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.30%210.99%21%21%2176.44%216.68%21%402103128817826821750878446ef17c%2112000044335512148%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab892db26%3Bm03_new_user%3A-29895%3BpisId%3A5000000209510139&curPageLogUid=lJ8DvXMhLjlW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008239007802%7C_p_origin_prod%3A
,Servo Connectors and Crimper,1,24.99,https://www.amazon.com/Female-Connector-Crimping-Compatible-Spektrum/dp/B0BGX7157Y?crid=DMTGJ1VKEWL0&dib=eyJ2IjoiMSJ9.PiOJteaVDRUNIUnd1YLNm4KLYP0_hXOejWJ1wBfrV62Qp7AqfEslVh5mUgiN-pskuPBiE8GKZ5O7YUlD_ZR8SkTdM0xfLtzhsWTcRQsDnMQsCwzX8eX-mHDaSagWREnhZssGAxy5m-LC3Su45RdbXnEDmahCMUYnUplI-S39VQJuugPx1lVz99Tor8hkO4ba6nm0mIjUmqzmpWoHFAWos206GASJ2J2ZQTW45GEVumtWVxPKVf9ovnVM_XUfp0AEYlIx2CcT0IIlg3JWlk4y4EDO7TsKRUuicsYX3caLr1g.XsNqtur9fzet3bb3aGVw1ztzbzEImVmS9wzLDMtb4VY&dib_tag=se&keywords=servo+connector+female&qid=1781406262&sprefix=servo+connector+female%2Caps%2C143&sr=8-7
,LEDs,1,8.18,https://www.aliexpress.us/item/3256806580504872.html?spm=a2g0o.productlist.main.4.566a53039Kq03m&aem_p4p_detail=202606281440551747404766041660002757335&algo_pvid=ba7085f2-3a7f-4b62-b9b1-53f025b2d0fa&algo_exp_id=ba7085f2-3a7f-4b62-b9b1-53f025b2d0fa-3&pdp_ext_f=%7B%22order%22%3A%2222685%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.20%210.99%21%21%2175.76%216.68%21%40210328df17826828552644544e73ae%2112000038232636656%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab892db26%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&curPageLogUid=2U4FNTn9xuyi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006766819624%7C_p_origin_prod%3A&search_p4p_id=202606281440551747404766041660002757335_1
,Level Shifter for LEDs,1,0.26,https://www.digikey.com/en/products/detail/diodes-incorporated/74AHCT125S14-13/7724623
,GPS Extenstion Cable,1,6.99,https://www.amazon.com/POBADY-Female-1-37mm-Low-Loss-Extension/dp/B0C8M8PCJ2
,Micro SD Slot,1,2.32,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/DM3D-SF/1786510
,Decoupling Capacitor,1,2.68,https://www.aliexpress.us/item/3256811909247133.html?spm=a2g0o.productlist.main.1.765116a9FZKCe7&algo_pvid=4b954bd5-5489-404f-9573-d2d85a4e5e37&algo_exp_id=4b954bd5-5489-404f-9573-d2d85a4e5e37-0&pdp_ext_f=%7B%22order%22%3A%22700%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005012095561885%22%2C%22orig_item_id%22%3A%221005009846338403%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.60%210.99%21%21%2117.54%216.68%21%402101ef5e17838198982227221e0e5b%2112000057516084160%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aac3c5b12%3Bm03_new_user%3A-29895%3BpisId%3A5000000210780981&curPageLogUid=iyZklXGvGMSM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012095561885%7C_p_origin_prod%3A1005009846338403
,Ballast Motor,2,5.93,https://www.aliexpress.us/item/3256807765699539.html?spm=a2g0o.productlist.main.2.31dd5e8elJiCu9&algo_pvid=296633e9-e18a-44c4-babb-a19b58ddf4a6&algo_exp_id=296633e9-e18a-44c4-babb-a19b58ddf4a6-1&pdp_ext_f=%7B%22order%22%3A%221562%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.18%210.99%21%21%214.18%210.99%21%4021032e4e17850319133778409e0d07%2112000043056835606%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac2c1a869%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792494&curPageLogUid=YaWPp7qkJByb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007952014291%7C_p_origin_prod%3A
,DC Motor Driver,1,2.7,https://www.digikey.com/en/products/detail/texas-instruments/DRV8833PW/4251165
,Ballast Air Motor,1,8.54,https://www.amazon.com/Jadeshay-Micro-Vacuum-Electric-PumpingBooster/dp/B089ZRYZV8?content-id=amzn1.sym.292df443-b323-44ae-8b40-9a666975b8b5%3Aamzn1.sym.292df443-b323-44ae-8b40-9a666975b8b5&crid=16R417ICXXPEE&cv_ct_cx=air%2Bpump%2Bdc%2Bmotor&keywords=air%2Bpump%2Bdc%2Bmotor&pd_rd_i=B089ZRYZV8&pd_rd_r=f43bb144-5616-4fba-9fcf-a1b50b6fd816&pd_rd_w=bYzBl&pd_rd_wg=t6SIr&pf_rd_p=292df443-b323-44ae-8b40-9a666975b8b5&pf_rd_r=W6JDPDCEQ69BE7YSEEX8&qid=1785790776&s=hi&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=air%2Bpump%2Bdc%2Bmot%2Ctools%2C199&sr=1-3-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&aref=HX8aRG7ClC&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
,M3 Screws and Heat Set Inserts,1,15.99,https://www.amazon.com/Threaded-Inserts-Plastic-3mm-10mm-Pringting/dp/B0GYRQG7F2?crid=3TRQYJR33BFNF&dib=eyJ2IjoiMSJ9.afZExRfd8qPkVgOts62rsh8aPkXYxXslF2gr0csMEFjox9TOVjecduCEvPJWD8nJwGhs5qnF6s9awAuCHBOC2kN_OyKOucVV-iXwpU-anXJ0s0mqAYivKDbX-Sd-gtvMhXxqaVra8b0VHGT8HjV0XUMOoXDBWiuhectR0q1zOPb6lkC3bzS_AghmgTSBZBi1f1Bb83QMlOH_CyQwDXz4QRcmqTjc33NXgZUSVNEhKEU.vZn5MXSKCX24QEzJP2dp16IZDDlJnx6xchIEPYr4IFw&dib_tag=se&keywords=m3%2Bheat%2Bset%2Binserts&qid=1785808954&sprefix=m3%2Bheat%2B%2Caps%2C295&sr=8-6&th=1
,PETG,1,46.99,https://www.amazon.com/SUNLU-PETG-Filament-1-75mm-Printer/dp/B0D1KBQ9VL?dib=eyJ2IjoiMSJ9.yozasg6EbG8TAifymqbF6DTrrhzQ8Y3D93k4_H5hewy6jywCedSuQPs-5cxP6eRGXBjuFoSneyA8vYbAu4IbbBoIsGvUXplrQGJFnHCN97_MQokTTzzdEn74qwtHJsnV0VGumsR2RZqQNTaRBaDvMgZvK75ZjgWa1wOYEHHS0YMbSftP5LQOmbw8LJaHDDQNHeJoTJhNPCbqZTgEmvPV_VsD4GLWTgpAos9HG1T5Kl0.OcoJlHHvEaOBKmKbj82pmQkrvyqvelCBupDIWJOg7bw&dib_tag=se&keywords=petg&qid=1785809459&sr=8-4&th=1
,4in PVC Pipe,1,38.46,https://www.homedepot.com/p/Charlotte-Pipe-4-in-x-10-ft-PVC-Schedule-40-DWV-Pipe-PVC074000600/100348477
,3in PVC Pipe,1,21.81,https://www.homedepot.com/p/Charlotte-Pipe-3-in-x-10-ft-PVC-Schedule-40-Foam-Core-DWV-Pipe-PVC-04300-0600/100348479
,Silicone Tubing,1,11.99,https://www.amazon.com/Hooshing-Silicone-Flexible-Winemaking-Transfer/dp/B08PTXZ51Q?crid=1GAV3589DEDFP&dib=eyJ2IjoiMSJ9.tHJ03-jNAKDALJtZvYiMbDf1xEfFUDZyfhOa3A0IieKvCuBS8m-W6EPMM8bk4Qk4nHL8hJwRF_kCxIbGE7bvC_N5ZjXEGO-lgWHeByeGD0BL9y8R_hBcc-EAv4JY5570BVK4dCs2mOQ0ua1Db_GcUrihiAWVrWaD4aMNBObwsMZW8WtP8mTn37CBqB8J1XXrKV2BJdHoFgPwVneGT8Rx-cOAsXfnUkCXP4OYlH8-Eyo.fEnKHmmNROoO7z-yLbup1DthQJGT2W-HA1a4erMw9D0&dib_tag=se&keywords=flexible%2Bhosing%2B4mm%2Bid&qid=1785810817&sprefix=flexible%2Bhosing%2B4mm%2Bi%2Caps%2C167&sr=8-3&th=1
,Hose Clamps (Tubing),1,5.19,https://www.amazon.com/Jersvimc-12pcs-Stainless-Plated-Adjustable/dp/B0BZSKH624?crid=150IXNTDA8X70&dib=eyJ2IjoiMSJ9.ZhB3b0kKWys0WwAqLZnzWKYe4EwVuFcEJasuXG7WYw7Q3ToztoovJzVPziqpMaQQZ1MlIiXum4jpmZZqppR0bRMjh-pP9Z85osOIa2PS6PkYg7k_u-ASMVHCxsDwXfqDBBNAfVfQR7sj_8KdTvwBx2wie4Ids2irT_xjbHvrebpp_VdXBwMZh-ZXYnhb2HAzOT_zZPNps5IwkOgZBctkO6nfHlRS7xa6u9DEbQDmMEU.Kwc3TTx0YLmrVOYKvMBKudpgSl96KikB4nkSa0UJlhg&dib_tag=se&keywords=6mm%2Bhose%2Bclamps&qid=1785810993&sprefix=mm%2Bhose%2Bclamps%2Caps%2C267&sr=8-4&th=1
,Hose Clamps (Hull),1,9.99,https://www.amazon.com/EesTeck-Adjustable-Stainless-Clamps-Ducting/dp/B08B43QT5Y?crid=1UXLSXFYIP5IG&dib=eyJ2IjoiMSJ9.hevg72rtbjLawgB9Ze8OMZr3biR5Q00HYk2xPfltO1e60IDIst4m76FKlDxq2wwopEeIdPTVkhJHPK0aBs6z1eXTemqpVcBti1e3_GPEdohLUGCEEXLma7Vm2D5wsNugPamjsa066-Cxyz1pv9Bkp9VVEk4DPg57yUURjZ3kD8kvkVi9_op7j7XDeDf2GAFHXT-fNu2iQLah1sS24QczwbAwI-9Zu6KhBOtfsRpS8JM.siuNlnGJWHgq7ok1dUX0E8tWy4vTvJJfqNIIOF880CQ&dib_tag=se&keywords=5in%2Bhose%2Bclamp&qid=1785811135&sprefix=in%2Bhose%2Bclamp%2Caps%2C195&sr=8-4&th=1
,Hose Clamps (Hull) Custom ,1,9.99,https://www.amazon.com/OURU-Clamp-Fasteners-Stainless-Clamps/dp/B0BHZ93JTZ?crid=1O2D0SH3VSASK&dib=eyJ2IjoiMSJ9.mF2EWtZbNsVj13v6OjHb1iiw4UJPNW1c05IpDujRLtmlDt4aPSLE-URYXnURXZXHcl9M9yQNdRajtVk-aWPrLGd4y_LeeGrrAayItN2A96XbVHEgVChEZYBFBoTZaAaQoVQ16vdGXrOPkdjj7mWww9XHgG1HFaOPu9U4jneGYbwK0-uX-YNq-JVkGJQVDTWgQU6b60TKV0rTAg8-Zboeg6-JiBR6Og7YVNQFutAetPI.lQBbzZqZf1eCZGF5D0KH69JQiNVZOWimfWlXcbO0Mus&dib_tag=se&keywords=hose%2Bclamp&qid=1785811214&sprefix=hose%2Bclamp%2Caps%2C169&sr=8-11&th=1
,O-Rings ,1,8.29,https://www.amazon.com/XBVV-Nitrile-Assortment-Plumbing-Connections/dp/B0CBTYXVCV?crid=3W2NC9UO5RT8U&dib=eyJ2IjoiMSJ9.kwTmGfW5REsJ9MD3w9vTEYUZv4xB9eM6wfSbUvEGo21xdM46JjWZW05Qv31ULnKCfZpk9L7W-3tIdKIB5IQXdg_0YTlFO3QYiJ-AEQ4Smnx4cthCJrsnHfj31VzDxhP9AkpfazDt6XI-gX443jYKHHSOZgN-5twH3U6k7rvJxjFc7gKc9VOPtX2q3dsE_30KXl4AsN2w2QwX0b7TGDeNHrxJsOQVbJAbZTOKxzZuMxXOFUZ1GuUhnfLBDFJ053k5kACKYE-sHFMK3xyd1dWgcFRo__TPXRK8YtGqo83_GMU.3Ifd2JBeaz9G4Vyxd3ewlrnUn_HSEqeGP4OPogUeiyA&dib_tag=se&keywords=o%2Brings&qid=1785811961&sprefix=o%2Brings%2Caps%2C171&sr=8-6&th=1
,Float Balls,1,5.79,https://www.amazon.com/uxcell-100pcs-Plastic-Bearing-Precision/dp/B0DZWW9C2V?crid=1TK98KR6GCKXK&dib=eyJ2IjoiMSJ9.pVTD1X6o2yNZkM_FiNzF_3WWncLKljTiHJeCr73Z4HxdfieD-zTNjxKlXASdklCO6dofAnaVeoK8k34T8IyAOlxpQIDsFd12d3YlbFpIRPuekWklnt-TzZ6427eNydAVLlOoLCtj49d-VFfg_SgpUVD7HcrvCOVXxDUP_xdC9obifxciVSTeIG-DmGvJFhRkpIRVviu2laPBqm_exHETEefLk2lD7W7ng3sLwTKtY5RtnCGxnyvSBniM5faxncSVIJHyJTzzfkQdZ8VDFOxAenWtucS5RCdKu-LtenL1iE4._BaKXXISU8ckZ4QmnRby9AsnbDVJqPGj5Aq8qZW9ijI&dib_tag=se&keywords=10mm%2Bball%2Bhollow&qid=1785812517&s=industrial&sprefix=10mm%2Bball%2Bhollo%2Cindustrial%2C155&sr=1-6&xpid=4f7Q3g9LQvipk&th=1
,Fiberglass Roll,1,12.99,https://www.amazon.com/Fiberglass-Chopped-Use%EF%BC%8CStrong-Structural-Reinforcement/dp/B0F8TR7Z27?crid=FW9TV08071TD&dib=eyJ2IjoiMSJ9.NwxrMZL-LLju-i2jpYsrV9c5sw8PeDrD9Chb1Vgh9XXTn2_14gSx4ALCPOuM0fFtgM54o4bw6TbthLQgrv025Z2ib9v726gNS_e17wmMnhxZ_Rh3FsC95s0jgphWXC4n06GIM2KidG9-e2UktrFeR5yfV1iicBWWCJkp8AxcAeHPsQHGoKSEIs0hIba6WVXaYk-4ykkOfYzGyxpmFlxBLJ-fOKXdU4Y8YNFgAXIzlA-gOxDsa3bsdrCAPlyVHIwZnL7CQ-sZvy6P3eqwq1WIC2V4_ARLMbjEjGjyR5CQAXs.Y7AjM0VE9zyfED0gugWG7aDeVi2HPHtD6OySjfSzB9k&dib_tag=se&keywords=fiberglass&qid=1785813126&s=industrial&sprefix=fiberglass%2B%2Cindustrial%2C189&sr=1-6&th=1
